Palavra,Descoberta,Letras passadas,Tamanho,Letras diferentes,Num de letras faltando,Letras faltando,Percentual letras diferentes descobertas
anularam,"['a', '_', 'u', 'l', 'a', 'r', 'a', 'm']","['a', 'r', 'o', 's', 'm', 'i', 'e', 'u', 'l', 'd']",8,5,1,['n'],0.16666666666666666
xerocaramos,"['_', '_', 'r', 'o', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 'r', 'o', 'm', 's', 'l', 'p', 'b', 'g', 'j']",11,5,3,"['c', 'x', 'e']",0.375
sabara,"['_', 'a', 'b', 'a', 'r', 'a']","['a', 'r', 'c', 'v', 'p', 'n', 'b', 'g']",6,3,1,['s'],0.25
encubavam,"['e', 'n', 'c', '_', '_', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'e', 'n', 'c', 'p', 't', 'i']",9,6,2,"['u', 'b']",0.25
estrumes,"['e', 's', 't', 'r', '_', '_', 'e', 's']","['a', 'e', 's', 'r', 't', 'i', 'l', 'p', 'o']",8,4,2,"['u', 'm']",0.3333333333333333
gola,"['_', 'o', '_', 'a']","['a', 'r', 'o', 'c', 't', 's', 'm']",4,2,2,"['l', 'g']",0.5
validas,"['_', 'a', 'l', 'i', 'd', 'a', 's']","['a', 's', 'r', 'c', 't', 'l', 'i', 'd', 'f', 'p']",7,5,1,['v'],0.16666666666666666
augusta,"['a', '_', '_', '_', '_', '_', 'a']","['a', 'r', 'i', 'd', 'v', 'e']",7,1,5,"['u', 's', 't', 'g']",0.8
bufas,"['_', 'u', '_', 'a', 's']","['a', 's', 'r', 'i', 'o', 'e', 'u', 'l']",5,3,2,"['f', 'b']",0.4
nutrem,"['_', 'u', '_', 'r', 'e', 'm']","['a', 'e', 's', 'i', 'm', 'r', 'o', 'u', 'l']",6,4,2,"['t', 'n']",0.3333333333333333
quedaramos,"['_', '_', 'e', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'p', 'c', 'l', 'f']",10,6,3,"['d', 'u', 'q']",0.3333333333333333
rita,"['r', 'i', '_', 'a']","['a', 'r', 'i', 'c', 'f', 'j', 'm', 'p']",4,3,1,['t'],0.25
xeroqueis,"['_', 'e', 'r', '_', '_', '_', 'e', 'i', 's']","['a', 'e', 'i', 's', 'r', 'p', 'd', 'v', 'n']",9,4,4,"['u', 'q', 'x', 'o']",0.5
fundeavam,"['f', '_', '_', '_', 'e', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'e', 'b', 'c', 'f', 'o']",9,5,3,"['d', 'u', 'n']",0.375
despovoe,"['d', 'e', 's', '_', '_', '_', '_', 'e']","['a', 'e', 's', 'd', 'r', 't', 'c', 'i']",8,3,4,"['v', 'p', 'o']",0.5
navego,"['_', 'a', '_', '_', '_', 'o']","['a', 's', 'r', 'o', 'c', 'm', 'i']",6,2,4,"['v', 'g', 'n', 'e']",0.6666666666666666
geral,"['_', '_', 'r', 'a', '_']","['a', 's', 'r', 'i', 'm', 'o', 'u']",5,2,3,"['l', 'e', 'g']",0.6
zelarei,"['_', 'e', '_', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 's', 'm', 'i', 'g', 'v', 'p']",7,4,2,"['z', 'l']",0.3333333333333333
viuvais,"['_', 'i', '_', '_', 'a', 'i', 's']","['a', 'o', 'r', 'i', 's', 'n', 'c', 'l']",7,3,3,"['u', 'v']",0.4
datariam,"['_', 'a', '_', 'a', 'r', 'i', 'a', 'm']","['a', 'r', 'i', 's', 'm', 'c', 'p', 'v', 'n']",8,4,2,"['d', 't']",0.3333333333333333
babarias,"['_', 'a', '_', 'a', 'r', 'i', 'a', 's']","['a', 'r', 'i', 's', 'c', 'p', 'n', 'v', 't']",8,4,2,['b'],0.2
regimes,"['r', 'e', '_', 'i', '_', 'e', 's']","['a', 'e', 'r', 'i', 's', 'v', 't', 'd', 'f']",7,4,2,"['m', 'g']",0.3333333333333333
chagares,"['_', '_', 'a', 'g', 'a', 'r', 'e', 's']","['a', 'r', 'e', 'm', 'i', 's', 't', 'g', 'f', 'l']",8,5,2,"['c', 'h']",0.2857142857142857
porres,"['_', 'o', 'r', 'r', 'e', 's']","['a', 'e', 's', 'r', 'o', 'b', 'c', 'f', 'j']",6,4,1,['p'],0.2
plote,"['_', 'l', 'o', '_', 'e']","['a', 'e', 'r', 'i', 'o', 'l', 'c', 'g']",5,3,2,"['t', 'p']",0.4
estudasse,"['e', 's', 't', '_', '_', 'a', 's', 's', 'e']","['a', 'r', 's', 'e', 't', 'c', 'f', 'l', 'i']",9,4,2,"['d', 'u']",0.3333333333333333
pegavamos,"['_', 'e', '_', 'a', 'v', 'a', 'm', 'o', 's']","['a', 's', 'o', 'm', 'r', 'v', 'c', 'i', 'e', 'l', 'n']",9,6,2,"['p', 'g']",0.25
voes,"['_', 'o', 'e', 's']","['a', 'o', 'e', 'm', 's', 'c', 'd', 'p']",4,3,1,['v'],0.25
vedas,"['_', 'e', '_', 'a', 's']","['a', 's', 'r', 'i', 'o', 'e', 'l', 't']",5,3,2,"['d', 'v']",0.4
enfadarao,"['e', 'n', '_', 'a', '_', 'a', 'r', 'a', 'o']","['a', 'r', 's', 'm', 'o', 'e', 'n', 'c', 'g', 'l']",9,5,2,"['f', 'd']",0.2857142857142857
vexarem,"['v', 'e', '_', 'a', 'r', 'e', 'm']","['a', 'r', 'e', 's', 'm', 'g', 'v', 'd', 'l', 't']",7,5,1,['x'],0.16666666666666666
nanam,"['_', 'a', '_', 'a', 'm']","['a', 's', 'r', 'm', 'c', 'b', 'v']",5,2,2,['n'],0.3333333333333333
degelo,"['d', 'e', '_', 'e', 'l', 'o']","['a', 'e', 'r', 'o', 'm', 'd', 't', 'l', 'b']",6,4,1,['g'],0.2
golpeando,"['_', 'o', 'l', '_', 'e', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'n', 'o', 'd', 'c', 'm', 'e', 'l', 'f']",9,6,2,"['p', 'g']",0.25
avacalho,"['a', 'v', 'a', 'c', 'a', 'l', 'h', '_']","['a', 'r', 's', 'n', 'c', 'p', 'v', 'l', 'h', 'e']",8,5,1,['o'],0.16666666666666666
pure,"['_', 'u', 'r', 'e']","['a', 'o', 'e', 'i', 'u', 'r', 'c', 'd']",4,3,1,['p'],0.25
gata,"['g', 'a', '_', 'a']","['a', 'c', 'r', 'g', 'b', 'j', 'l']",4,2,1,['t'],0.3333333333333333
sujamo,"['s', 'u', '_', 'a', 'm', 'o']","['a', 'o', 'm', 'r', 'c', 'i', 'e', 'u', 's', 'b']",6,5,1,['j'],0.16666666666666666
contigo,"['c', 'o', 'n', '_', 'i', '_', 'o']","['a', 'e', 'o', 'i', 'r', 'c', 'n', 'd', 'v']",7,4,2,"['t', 'g']",0.3333333333333333
roubavas,"['r', 'o', '_', '_', 'a', 'v', 'a', 's']","['a', 'r', 's', 'e', 'd', 'v', 'c', 'p', 'o', 'n']",8,5,2,"['u', 'b']",0.2857142857142857
postulamo,"['p', 'o', 's', 't', 'u', 'l', 'a', '_', 'o']","['a', 'r', 'i', 'e', 'o', 'c', 'p', 's', 't', 'u', 'l', 'd']",9,7,1,['m'],0.125
alijaram,"['a', '_', 'i', '_', 'a', 'r', 'a', 'm']","['a', 'r', 'o', 's', 'm', 'i', 't', 'f', 'v']",8,4,2,"['l', 'j']",0.3333333333333333
volves,"['_', 'o', '_', '_', 'e', 's']","['a', 'e', 's', 'r', 'i', 'o', 't', 'c']",6,3,3,"['l', 'v']",0.4
vulto,"['_', 'u', '_', '_', 'o']","['a', 'e', 'o', 'i', 'r', 'u', 's']",5,2,3,"['l', 'v', 't']",0.6
luzirmo,"['_', 'u', '_', 'i', 'r', 'm', 'o']","['a', 'e', 'o', 'i', 'n', 'm', 'r', 'u', 'g', 'b']",7,5,2,"['l', 'z']",0.2857142857142857
primando,"['_', 'r', 'i', '_', 'a', 'n', 'd', 'o']","['a', 'r', 'e', 'o', 'd', 'n', 't', 'i', 'g', 'v', 'f']",8,6,2,"['m', 'p']",0.25
puxarieis,"['_', 'u', '_', 'a', 'r', 'i', 'e', 'i', 's']","['a', 'e', 's', 'i', 'r', 'o', 'c', 'u', 'f', 'g', 'm']",9,6,2,"['p', 'x']",0.25
constei,"['c', 'o', '_', '_', 't', 'e', 'i']","['a', 'e', 'i', 'r', 'u', 'o', 'c', 't', 'g', 'l']",7,5,2,"['s', 'n']",0.2857142857142857
buzinaras,"['b', '_', '_', 'i', '_', 'a', 'r', 'a', 's']","['a', 'r', 'e', 'o', 'm', 's', 'i', 't', 'b', 'l']",9,5,3,"['z', 'u', 'n']",0.375
torres,"['_', 'o', 'r', 'r', 'e', 's']","['a', 'e', 's', 'r', 'o', 'b', 'c', 'f', 'j']",6,4,1,['t'],0.2
peidam,"['_', '_', 'i', '_', 'a', 'm']","['a', 's', 'r', 'i', 'm', 't', 'x', 'n']",6,3,3,"['d', 'p', 'e']",0.5
encuba,"['e', 'n', '_', '_', '_', 'a']","['a', 'r', 'i', 'e', 's', 'n', 't', 'g']",6,3,3,"['u', 'c', 'b']",0.5
judiam,"['_', 'u', '_', 'i', 'a', 'm']","['a', 's', 'r', 'i', 'm', 'e', 'u', 'n', 'l']",6,4,2,"['d', 'j']",0.3333333333333333
punidas,"['_', 'u', '_', 'i', 'd', 'a', 's']","['a', 'r', 's', 'i', 'c', 'd', 'e', 'v', 'u', 'm']",7,5,2,"['p', 'n']",0.2857142857142857
fuzilara,"['_', '_', '_', 'i', '_', 'a', 'r', 'a']","['a', 'r', 'e', 'i', 't', 'c', 'b', 'd']",8,3,4,"['f', 'u', 'z', 'l']",0.5714285714285714
boxeamos,"['_', 'o', '_', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'l', 'c', 'p', 'v']",8,4,3,"['b', 'x', 'e']",0.42857142857142855
leque,"['_', 'e', '_', 'u', 'e']","['a', 'e', 'r', 't', 's', 'u', 'g']",5,2,2,"['l', 'q']",0.5
votastes,"['_', 'o', 't', 'a', 's', 't', 'e', 's']","['a', 's', 'e', 't', 'o', 'b', 'c', 'd', 'l', 'n']",8,5,1,['v'],0.16666666666666666
agireis,"['a', '_', 'i', 'r', 'e', 'i', 's']","['a', 'e', 'i', 's', 't', 'v', 'l', 'm', 'r', 'd']",7,5,1,['g'],0.16666666666666666
pajeamo,"['_', 'a', '_', '_', 'a', 'm', 'o']","['a', 'r', 's', 'o', 'm', 'n', 't', 'l']",7,3,3,"['p', 'j', 'e']",0.5
equilibras,"['e', '_', '_', '_', '_', '_', '_', 'r', 'a', 's']","['a', 'r', 'e', 's', 'n', 'c', 'p', 't', 'm']",10,4,6,"['q', 'b', 'l', 'u', 'i']",0.5555555555555556
abnego,"['a', '_', '_', 'e', '_', 'o']","['a', 'e', 'i', 'r', 'o', 'm', 'l', 'c']",6,3,3,"['b', 'n', 'g']",0.5
gari,"['_', 'a', '_', 'i']","['a', 'o', 'e', 'i', 'l', 'n', 't']",4,2,2,"['r', 'g']",0.5
assentas,"['a', 's', 's', 'e', '_', '_', 'a', 's']","['a', 'r', 's', 'i', 'e', 'd', 'v', 'c']",8,3,2,"['t', 'n']",0.4
chupastes,"['c', 'h', '_', '_', 'a', 's', 't', 'e', 's']","['a', 's', 'e', 't', 'r', 'i', 'l', 'n', 'c', 'h', 'g']",9,6,2,"['u', 'p']",0.25
abelhudo,"['a', '_', '_', '_', '_', '_', 'd', 'o']","['a', 'r', 's', 'o', 'm', 'd', 'n', 'i']",8,3,5,"['b', 'l', 'u', 'h', 'e']",0.625
pudicos,"['_', '_', '_', 'i', 'c', 'o', 's']","['a', 'e', 'o', 'i', 's', 'm', 'c', 'n', 't']",7,4,3,"['d', 'u', 'p']",0.42857142857142855
catou,"['c', 'a', '_', 'o', 'u']","['a', 's', 'r', 'm', 'i', 'o', 'u', 'c', 'g']",5,4,1,['t'],0.2
soa,"['_', 'o', 'a']","['a', 'i', 'o', 'b', 'c', 'd', 'm']",3,2,1,['s'],0.3333333333333333
atuando,"['a', '_', 'u', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'n', 'd', 'o', 'i', 'c', 'u', 'g']",7,5,1,['t'],0.16666666666666666
findaveis,"['_', 'i', '_', '_', 'a', 'v', 'e', 'i', 's']","['a', 's', 'e', 'i', 'v', 'c', 'g', 'l', 't', 'r']",9,5,3,"['f', 'd', 'n']",0.375
empipocas,"['_', '_', '_', 'i', '_', '_', '_', 'a', 's']","['a', 'r', 's', 'i', 'v', 'd', 'l', 'n']",9,3,6,"['o', 'm', 'c', 'p', 'e']",0.625
doppler,"['_', 'o', '_', '_', '_', 'e', 'r']","['a', 'e', 'i', 's', 'm', 'r', 'o', 'c']",7,3,4,"['d', 'p', 'l']",0.5
conjuga,"['c', 'o', 'n', '_', 'u', '_', 'a']","['a', 'r', 'i', 'e', 'o', 'd', 'c', 'n', 'u', 's']",7,5,2,"['j', 'g']",0.2857142857142857
chupavam,"['_', '_', '_', '_', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'i', 'e', 'l']",8,3,4,"['u', 'c', 'p', 'h']",0.5714285714285714
roxo,"['r', 'o', '_', 'o']","['a', 'o', 'c', 't', 'r', 'b', 'd']",4,2,1,['x'],0.3333333333333333
reza,"['r', 'e', '_', 'a']","['a', 'r', 'i', 'o', 'e', 'g', 'j', 'm']",4,3,1,['z'],0.25
detende,"['d', 'e', '_', 'e', 'n', 'd', 'e']","['a', 'e', 's', 'r', 'd', 'n', 'f', 'p']",7,3,1,['t'],0.25
caudilhos,"['c', 'a', '_', '_', 'i', 'l', 'h', 'o', 's']","['a', 's', 'r', 'e', 'i', 'n', 'c', 'o', 'm', 'l', 'h', 'x']",9,7,2,"['d', 'u']",0.2222222222222222
pia,"['_', 'i', 'a']","['a', 'i', 'd', 'e', 'f', 'l', 'm']",3,2,1,['p'],0.3333333333333333
rumava,"['r', 'u', '_', 'a', 'v', 'a']","['a', 'r', 'e', 'd', 'v', 'i', 'o', 'u', 'f']",6,4,1,['m'],0.2
blindavam,"['_', '_', 'i', 'n', '_', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'e', 'i', 'n', 'h', 'f']",9,5,3,"['l', 'b', 'd']",0.375
solara,"['_', 'o', '_', 'a', 'r', 'a']","['a', 'r', 'c', 'i', 'e', 'o', 't', 'd']",6,3,2,"['l', 's']",0.4
ligaras,"['l', 'i', '_', 'a', 'r', 'a', 's']","['a', 'r', 'o', 's', 'i', 'm', 'f', 'c', 'l', 'd']",7,5,1,['g'],0.16666666666666666
quarenta,"['_', '_', 'a', 'r', 'e', 'n', 't', 'a']","['a', 'r', 'c', 'd', 'v', 't', 'e', 'n', 'p', 'z']",8,5,2,"['u', 'q']",0.2857142857142857
tear,"['_', 'e', 'a', 'r']","['a', 's', 'r', 'o', 'i', 'e', 'c', 'g']",4,3,1,['t'],0.25
licores,"['_', 'i', '_', '_', 'r', 'e', 's']","['a', 'e', 'i', 's', 'r', 't', 'g', 'd', 'z']",7,4,3,"['l', 'c', 'o']",0.42857142857142855
penasseis,"['p', 'e', '_', 'a', 's', 's', 'e', 'i', 's']","['a', 'e', 's', 'i', 'l', 'r', 'v', 'p', 'c', 'g']",9,5,1,['n'],0.16666666666666666
trazem,"['t', 'r', 'a', '_', 'e', 'm']","['a', 'r', 's', 't', 'i', 'm', 'e', 'c', 'j', 'v']",6,5,1,['z'],0.16666666666666666
embatido,"['e', 'm', 'b', 'a', '_', '_', '_', 'o']","['a', 's', 'e', 'n', 'm', 'p', 'b', 'r', 'o', 'c']",8,5,3,"['d', 't', 'i']",0.375
les,"['_', 'e', '_']","['a', 'o', 'e', 'm', 'r', 'u']",3,1,2,"['l', 's']",0.6666666666666666
torax,"['_', 'o', 'r', 'a', '_']","['a', 's', 'r', 'i', 'm', 'o', 'c', 'g']",5,3,2,"['t', 'x']",0.4
espumavas,"['e', 's', '_', '_', '_', 'a', 'v', 'a', 's']","['a', 'r', 's', 'e', 'v', 't', 'c', 'o', 'g']",9,4,3,"['u', 'm', 'p']",0.42857142857142855
tais,"['_', 'a', 'i', 's']","['a', 'o', 'e', 'i', 's', 'c', 'd', 'm']",4,3,1,['t'],0.25
poluida,"['_', 'o', 'l', '_', 'i', 'd', 'a']","['a', 'r', 'i', 'c', 'e', 'n', 'd', 'l', 'o', 'v']",7,5,2,"['u', 'p']",0.2857142857142857
razoes,"['r', 'a', '_', '_', 'e', 's']","['a', 's', 'i', 'r', 'e', 'c', 'p', 'l', 'n']",6,4,2,"['z', 'o']",0.3333333333333333
notou,"['_', 'o', 't', 'o', 'u']","['a', 'e', 'o', 's', 'u', 't', 'b', 'c']",5,3,1,['n'],0.25
grudarmo,"['g', 'r', '_', '_', 'a', 'r', 'm', 'o']","['a', 'r', 'e', 'o', 'm', 't', 'i', 'g', 'f', 'v']",8,5,2,"['d', 'u']",0.2857142857142857
devolvem,"['d', 'e', '_', '_', '_', '_', 'e', 'm']","['a', 'e', 'r', 's', 'i', 'd', 'm', 'u']",8,3,4,"['l', 'v', 'o']",0.5
acometa,"['a', '_', 'o', '_', 'e', 't', 'a']","['a', 'r', 'i', 'd', 'v', 'e', 't', 'o', 'b']",7,4,2,"['m', 'c']",0.3333333333333333
compilava,"['c', 'o', '_', '_', 'i', 'l', 'a', 'v', 'a']","['a', 'r', 'v', 'e', 'i', 'c', 'n', 't', 'o', 'l', 'h']",9,6,2,"['m', 'p']",0.25
saio,"['_', 'a', '_', 'o']","['a', 'o', 'c', 't', 'r', 'g', 'n']",4,2,2,"['s', 'i']",0.5
funguemos,"['_', 'u', '_', '_', 'u', 'e', 'm', 'o', 's']","['a', 'e', 'o', 's', 'm', 'r', 'i', 'u', 'l', 'b']",9,5,3,"['f', 'n', 'g']",0.375
quilos,"['_', 'u', 'i', '_', 'o', 's']","['a', 'e', 'o', 's', 'i', 'u', 'r', 'z', 'm']",6,4,2,"['l', 'q']",0.3333333333333333
nevamos,"['_', 'e', 'v', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'l', 'c', 'v', 'd']",7,6,1,['n'],0.14285714285714285
junco,"['_', 'u', '_', '_', 'o']","['a', 'e', 'o', 'i', 'r', 'u', 's']",5,2,3,"['c', 'j', 'n']",0.6
baleamo,"['_', 'a', 'l', '_', 'a', 'm', 'o']","['a', 'r', 's', 'o', 'm', 'n', 't', 'l', 'h']",7,4,2,"['b', 'e']",0.3333333333333333
multi,"['_', 'u', '_', 't', 'i']","['a', 'e', 'o', 'i', 'u', 's', 't', 'c']",5,3,2,"['l', 'm']",0.4
enojado,"['_', '_', 'o', '_', 'a', 'd', 'o']","['a', 'o', 'd', 'r', 'l', 'b', 'c', 't']",7,3,3,"['j', 'n', 'e']",0.5
culpem,"['_', 'u', '_', '_', 'e', 'm']","['a', 'e', 's', 'i', 'm', 'r', 'u', 'd']",6,3,3,"['l', 'c', 'p']",0.5
privou,"['_', 'r', 'i', 'v', 'o', 'u']","['a', 'e', 'o', 's', 'u', 'r', 'i', 'g', 'v', 'c']",6,5,1,['p'],0.16666666666666666
palhas,"['_', 'a', 'l', 'h', 'a', 's']","['a', 's', 'r', 'c', 'i', 'n', 'l', 'h', 'f']",6,4,1,['p'],0.2
ria,"['_', 'i', 'a']","['a', 'i', 'd', 'e', 'f', 'l', 'm']",3,2,1,['r'],0.3333333333333333
montares,"['_', 'o', '_', 't', 'a', 'r', 'e', 's']","['a', 'r', 'e', 'i', 's', 'o', 't', 'c', 'p', 'l', 'g']",8,6,2,"['m', 'n']",0.25
avia,"['a', '_', 'i', 'a']","['a', 'r', 'l', 'i', 'd', 'f', 'g']",4,2,1,['v'],0.3333333333333333
abdica,"['a', 'b', '_', 'i', '_', 'a']","['a', 'r', 'i', 't', 'n', 'l', 'b', 'x']",6,3,2,"['d', 'c']",0.4
fitando,"['_', 'i', '_', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'n', 'o', 'd', 'c', 'i', 'l', 'm']",7,5,2,"['f', 't']",0.2857142857142857
ajuiza,"['a', '_', '_', 'i', '_', 'a']","['a', 'r', 'i', 't', 'n', 'l', 'b']",6,2,3,"['z', 'u', 'j']",0.6
bundamos,"['_', '_', '_', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'l', 'c']",8,4,4,"['d', 'b', 'u', 'n']",0.5
pautam,"['_', 'a', '_', '_', 'a', 'm']","['a', 's', 'r', 'i', 'm', 'n', 'l']",6,2,3,"['u', 't', 'p']",0.6
enxotarei,"['e', 'n', '_', 'o', '_', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 's', 'm', 'i', 'n', 'c', 'g', 'o', 'l']",9,6,2,"['t', 'x']",0.25
galata,"['g', 'a', '_', 'a', 't', 'a']","['a', 'r', 'v', 'c', 'd', 't', 'g', 'i']",6,3,1,['l'],0.25
debateu,"['_', '_', '_', 'a', '_', '_', '_']","['a', 'r', 's', 'n', 'm', 'o']",7,1,6,"['d', 't', 'b', 'u', 'e']",0.8333333333333334
gabaritou,"['g', 'a', 'b', 'a', 'r', 'i', 't', '_', '_']","['a', 's', 'i', 'n', 'r', 'p', 'g', 'b', 't', 'm', 'e']",9,6,2,"['u', 'o']",0.25
fungaramos,"['_', '_', '_', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'c', 't', 'l']",10,5,4,"['f', 'u', 'n', 'g']",0.4444444444444444
bundarao,"['_', '_', '_', '_', 'a', 'r', 'a', 'o']","['a', 'r', 'o', 'i', 'e', 'c', 't', 'l']",8,3,4,"['d', 'b', 'u', 'n']",0.5714285714285714
uivaram,"['_', 'i', '_', 'a', 'r', 'a', 'm']","['a', 'r', 'o', 's', 'm', 'i', 'f', 'l', 'c']",7,4,2,"['u', 'v']",0.3333333333333333
objetas,"['_', '_', '_', 'e', 't', 'a', 's']","['a', 'r', 's', 'i', 'e', 'c', 'l', 't', 'g']",7,4,3,"['b', 'j', 'o']",0.42857142857142855
fuziles,"['_', '_', '_', 'i', '_', 'e', 's']","['a', 'e', 'i', 'r', 'm', 's', 'd', 'c']",7,3,4,"['f', 'u', 'z', 'l']",0.5714285714285714
repugne,"['r', 'e', '_', '_', '_', '_', 'e']","['a', 'e', 'r', 't', 's', 'o', 'i']",7,2,4,"['u', 'p', 'n', 'g']",0.6666666666666666
pipocando,"['_', '_', '_', 'o', 'c', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'n', 'o', 'd', 'c', 'm', 'f', 'v']",9,5,3,"['p', 'i']",0.2857142857142857
velas,"['_', 'e', 'l', 'a', 's']","['a', 's', 'r', 'i', 'o', 'e', 'l', 'b', 'c']",5,4,1,['v'],0.2
anularam,"['a', '_', 'u', 'l', 'a', 'r', 'a', 'm']","['a', 'r', 'o', 's', 'm', 'i', 'e', 'u', 'l', 'd']",8,5,1,['n'],0.16666666666666666
quer,"['_', '_', 'e', 'r']","['a', 'o', 'e', 'i', 's', 'r', 'c']",4,2,2,"['u', 'q']",0.5
adocar,"['a', '_', 'o', '_', 'a', 'r']","['a', 'i', 'r', 'l', 'u', 'e', 'o', 'f']",6,3,2,"['d', 'c']",0.4
assumas,"['a', 's', 's', '_', '_', 'a', 's']","['a', 'r', 'i', 's', 'o', 'd', 'v']",7,2,2,"['u', 'm']",0.5
molar,"['_', 'o', 'l', 'a', 'r']","['a', 's', 'r', 'i', 'o', 't', 'l', 'b', 'c']",5,4,1,['m'],0.2
noites,"['_', '_', 'i', 't', 'e', 's']","['a', 'e', 's', 'r', 'i', 't', 'm', 'd', 'l']",6,4,2,"['n', 'o']",0.3333333333333333
objetar,"['_', '_', '_', 'e', 't', 'a', 'r']","['a', 'r', 'e', 'l', 'n', 'c', 't', 'd', 's']",7,4,3,"['b', 'j', 'o']",0.42857142857142855
tourearei,"['_', '_', '_', 'r', 'e', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 'm', 's', 'i', 'l', 'f', 'c']",9,4,3,"['u', 't', 'o']",0.42857142857142855
jogavamos,"['_', 'o', '_', 'a', 'v', 'a', 'm', 'o', 's']","['a', 's', 'o', 'm', 'r', 'v', 't', 'c', 'd', 'b']",9,5,2,"['j', 'g']",0.2857142857142857
banharmo,"['_', 'a', 'n', '_', 'a', 'r', 'm', 'o']","['a', 'r', 's', 'm', 'o', 't', 'l', 'n', 'c', 'z']",8,5,2,"['b', 'h']",0.2857142857142857
usurparia,"['_', '_', '_', 'r', '_', 'a', 'r', 'i', 'a']","['a', 'r', 'i', 'e', 'o', 'm', 'g', 'c']",9,3,4,"['u', 's', 'p']",0.5
remexas,"['r', 'e', '_', 'e', '_', 'a', 's']","['a', 'r', 'e', 's', 'l', 't', 'v', 'c', 'g']",7,4,2,"['m', 'x']",0.3333333333333333
trazer,"['t', 'r', 'a', '_', '_', 'r']","['a', 'r', 't', 'c', 'g', 'j', 'o', 'v']",6,3,2,"['z', 'e']",0.4
desove,"['d', 'e', '_', '_', '_', 'e']","['a', 'e', 'r', 'd', 't', 'l', 'n']",6,2,3,"['s', 'v', 'o']",0.6
chutemos,"['_', '_', 'u', '_', 'e', 'm', 'o', 's']","['a', 'e', 'o', 's', 'm', 'r', 'i', 'u', 'p', 'l']",8,5,3,"['c', 't', 'h']",0.375
malhasseis,"['_', 'a', 'l', 'h', 'a', 's', 's', 'e', 'i', 's']","['a', 's', 'e', 'i', 'r', 'c', 't', 'l', 'g', 'h', 'f']",10,6,1,['m'],0.14285714285714285
babado,"['_', 'a', '_', 'a', 'd', 'o']","['a', 'c', 'r', 'o', 'm', 'd', 'n', 'v']",6,3,2,['b'],0.25
confiavam,"['c', '_', '_', '_', 'i', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'e', 'i', 'l', 'c', 'b']",9,5,3,"['f', 'n', 'o']",0.375
avariaras,"['a', '_', 'a', 'r', '_', 'a', 'r', 'a', 's']","['a', 'r', 'm', 'o', 's', 'g', 'b', 'p']",9,3,2,"['v', 'i']",0.4
delegue,"['d', 'e', '_', 'e', '_', '_', 'e']","['a', 'e', 's', 'r', 'd', 'n', 't']",7,2,3,"['l', 'u', 'g']",0.6
zurrem,"['_', '_', 'r', 'r', 'e', 'm']","['a', 'e', 's', 'i', 'm', 'r', 'o', 'b']",6,3,2,"['z', 'u']",0.4
dataramos,"['_', 'a', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 's', 'm', 'o', 'r', 'c', 'p', 'n', 'v', 'b']",9,5,2,"['d', 't']",0.2857142857142857
notai,"['_', 'o', 't', 'a', 'i']","['a', 's', 'r', 'i', 'c', 'l', 't', 'o', 'b']",5,4,1,['n'],0.2
engajou,"['e', 'n', 'g', 'a', '_', '_', '_']","['a', 'r', 's', 'n', 'e', 'l', 'g', 'i', 'm']",7,4,3,"['u', 'j', 'o']",0.42857142857142855
agachava,"['a', '_', 'a', '_', '_', 'a', 'v', 'a']","['a', 'r', 'v', 'm', 'p', 'i', 't']",8,2,3,"['c', 'h', 'g']",0.6
findais,"['_', 'i', 'n', '_', 'a', 'i', 's']","['a', 'o', 'r', 'i', 's', 'n', 'c', 't', 'g']",7,4,2,"['f', 'd']",0.3333333333333333
aquecemo,"['a', '_', '_', 'e', '_', 'e', 'm', 'o']","['a', 'r', 's', 'o', 'm', 'e', 'l', 'd', 'n']",8,4,3,"['u', 'q', 'c']",0.42857142857142855
escavou,"['e', 's', 'c', 'a', 'v', '_', '_']","['a', 'r', 's', 'e', 't', 'c', 'l', 'p', 'v', 'i']",7,5,2,"['u', 'o']",0.2857142857142857
andarao,"['a', '_', '_', 'a', 'r', 'a', 'o']","['a', 'r', 'm', 's', 'o', 'c', 'i', 'u']",7,3,2,"['d', 'n']",0.4
